method,target_assurance,alpha,calibration_size,test_size,qhat_mm,calibration_mean_error_mm,calibration_median_error_mm,test_mean_error_mm,test_median_error_mm,test_p90_error_mm,test_p95_error_mm,true_coverage,mean_base_radius_mm,mean_final_radius_mm
CQR-OneSided,0.9,0.09999999999999998,2592,1728,-0.6296977996826172,14.179437637329102,8.549954414367676,13.596770286560059,8.459951400756836,23.397859191894533,44.77742710113522,0.8969907407407407,21.08835220336914,20.458654403686523
CQR-OneSided,0.95,0.050000000000000044,2592,1728,-0.9931640625,14.179437637329102,8.549954414367676,13.596770286560059,8.459951400756836,23.397859191894533,44.77742710113522,0.9542824074074074,23.739492416381836,22.746328353881836
CQR-OneSided,0.99,0.010000000000000009,2592,1728,0.23420333862304688,14.179437637329102,8.549954414367676,13.596770286560059,8.459951400756836,23.397859191894533,44.77742710113522,0.9930555555555556,26.140357971191406,26.374561309814453
